minute,half,ht_elo,at_elo,ht_goal,at_goal,pass,short_pass,long_pass,final_3rd_pass,key_pass,cross,corner,big_chance,shot,shot_6_yard_box,shot_penalty_box,shot_open_play,shot_fast_break,dispossessed,turnover,duel,tackle,interception,clearance,offside,yellow,red,result
0,1,1771.06054688,1797.95227051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W
1,1,1771.06054688,1797.95227051,0,0,0,2,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,W
2,1,1771.06054688,1797.95227051,0,0,2,4,1,-2,-1,0,0,0,-1,0,-1,-1,0,0,-1,1,0,-1,0,0,0,0,W
3,1,1771.06054688,1797.95227051,0,0,-2,0,0,-2,-1,0,0,0,-1,0,-1,-1,0,0,-1,1,-1,-1,0,0,0,0,W
4,1,1771.06054688,1797.95227051,0,0,-4,-1,-1,-2,-1,0,0,0,-1,0,-1,-1,0,0,-1,1,-1,-1,0,-1,0,0,W
5,1,1771.06054688,1797.95227051,0,0,-6,-2,-1,-4,-1,0,0,0,-1,0,-1,-1,0,0,-2,1,-1,-1,0,-1,0,0,W
6,1,1771.06054688,1797.95227051,0,0,2,6,1,-6,-1,0,0,0,-1,0,-1,-1,0,0,-2,1,-1,-2,0,-2,0,0,W
7,1,1771.06054688,1797.95227051,0,0,6,9,1,-5,-1,0,0,0,-1,0,-1,-1,0,0,0,1,-1,-1,0,-2,0,0,W
8,1,1771.06054688,1797.95227051,0,0,4,7,1,-1,-1,0,0,0,0,0,0,0,0,0,-1,1,-1,-1,-2,-2,0,0,W
9,1,1771.06054688,1797.95227051,0,0,6,9,1,4,0,0,0,1,1,0,1,1,0,0,-1,0,-1,-1,-3,-3,0,0,W
11,1,1771.06054688,1797.95227051,0,0,8,11,0,5,0,0,0,1,1,0,1,1,0,0,-1,0,-1,-1,-3,-3,0,0,W
12,1,1771.06054688,1797.95227051,1,0,8,11,0,5,0,0,0,1,2,0,2,1,0,0,-1,0,-1,-1,-3,-3,0,0,W
13,1,1771.06054688,1797.95227051,1,0,6,8,0,2,0,0,0,1,2,0,2,1,0,0,-2,0,-1,-1,-2,-3,0,0,W
14,1,1771.06054688,1797.95227051,1,0,6,7,1,-1,0,-1,0,1,2,0,2,1,0,-1,-1,0,0,-1,-1,-3,0,0,W
15,1,1771.06054688,1797.95227051,1,0,3,4,0,-4,0,-1,-1,1,2,0,2,1,0,0,-3,1,-1,-1,0,-3,0,0,W
16,1,1771.06054688,1797.95227051,1,0,-2,-1,0,-8,-1,-2,-1,1,1,0,2,0,0,1,-3,1,-2,-1,0,-3,0,0,W
17,1,1771.06054688,1797.95227051,1,0,-7,-6,2,-10,-1,-2,-1,1,1,0,2,0,0,1,-2,1,-2,-1,0,-3,0,0,W
18,1,1771.06054688,1797.95227051,1,0,-3,-3,3,-11,-2,-3,-1,1,0,-1,2,-1,0,1,-2,0,-2,-1,0,-3,0,0,W
19,1,1771.06054688,1797.95227051,1,0,4,4,3,-7,-2,-3,-1,1,1,-1,2,0,0,0,-2,0,-2,-1,-1,-3,0,0,W
